privada	aplicaciones	ingresantes	estudiantes	top10	cuota	prof_dr	razon	tasa_grad
Si	2.307	0.509	1.707	19	11.07	71	14.8	82
Si	0.897	0.276	1.345	12	10.45	56	14.1	70
Si	2.095	0.514	1.873	15	12.95	70	14.5	97
No	3.971	1.921	11.493	10	4.259	70	18.9	58
Si	0.213	0.085	0.513	13	8.67	43	12.5	48
Si	1.046	0.284	1.223	21	10.88	64	19.3	69
Si	0.933	0.444	1.691	18	12.247	76	12	70
Si	0.92	0.225	0.815	24	11.2	55	14.8	67
Si	0.833	0.217	0.716	12	9.985	53	27.2	85
Si	2.519	0.776	2.473	39	12.75	84	17.4	83
Si	0.292	0.096	0.543	20	12.2	87	11.2	76
Si	3.294	0.956	4.576	44	11.69	84	4.6	67
Si	0.888	0.393	1.433	26	12.73	74	9.9	98
Si	0.876	0.367	1.263	14	10.8	68	18.8	78
Si	0.15	0.088	0.341	23	10.3	44	10.2	75
Si	1.91	0.463	1.715	16	13.03	79	14.5	84
Si	2.248	0.745	2.888	38	14.35	82	10	83
Si	1.606	0.53	1.921	23	9.408	78	12.1	53
Si	0.7	0.278	1.035	19	10.85	62	12.3	88
Si	0.785	0.295	1.67	15	10.86	87	13.7	55
Si	0.489	0.12	0.7	23	10.575	46	13	98
Si	0.335	0.132	0.534	28	10.475	68	11.2	60
No	4.216	0.736	4.296	20	5.13	73	17.9	56
Si	1.68	0.691	2.959	34	8.236	74	14.7	61
No	9.402	2.151	16.407	20	8.384	87	19.5	41
Si	4.019	0.888	3.891	40	13.584	88	13.9	100
Si	1.38	0.263	1	57	19.3	89	6.1	83
Si	1.109	0.386	1.897	20	8.325	14	16.1	55
Si	0.584	0.131	0.521	19	8.955	51	11.8	52
Si	0.855	0.139	0.569	60	17.238	95	8.2	73
Si	1.183	0.411	1.922	42	12.669	83	16.8	66
Si	2.115	0.494	2.993	28	12.825	85	12.2	89
Si	4.576	1	4.384	16	12	81	14.4	64
Si	0.936	0.197	0.752	24	11.24	71	11.2	71
No	5.818	1.116	5.268	14	7.844	80	18.8	72
Si	0.54	0.165	1.115	23	7.21	62	13.2	58
Si	2.961	0.628	2.669	24	10.8	71	14.1	100
Si	0.464	0.183	0.686	10	9.24	29	7.2	47
Si	1.003	0.295	1.144	23	16.16	74	8.9	79
Si	1.016	0.3	1.116	27	11.25	66	15.8	70
Si	0.437	0.211	0.614	13	8.99	73	14.8	48
Si	4.293	0.591	2.322	25	18.71	87	12.7	81
Si	2.925	0.632	2.479	51	18.82	85	10.3	90
No	2.807	1.701	7	13	3.811	62	15	67
No	2.281	1.408	6.553	18	4.68	75	17.1	45
No	0.818	0.447	2.962	20	3.738	55	19.6	53
Si	0.385	0.193	0.784	18	9.52	63	18.6	43
No	2.54	0.994	6.063	13	5.472	76	16.5	43
Si	4.301	1.166	4.892	41	12.772	74	13.5	72
Si	1.093	0.642	1.77	12	7.07	52	15.9	71
No	6.118	3.204	13.131	15	4.74	70	19.9	56
No	1.047	0.511	2.091	13	4.285	58	16.5	51
Si	0.321	0.172	0.62	11	7.536	44	13	36
Si	0.213	0.075	0.504	28	7.2	56	11.8	52
Si	1.244	0.352	1.177	44	11.85	83	11.3	67
Si	0.283	0.097	0.589	10	8.4	50	10.6	89
Si	3.713	0.443	1.971	47	7	73	12.5	65
Si	0.372	0.181	1.501	15	8.6	48	15.4	49
Si	1.489	0.375	1.688	13	10.456	91	17.7	78
Si	0.323	0.122	0.393	31	16.15	63	7.2	64
Si	1.368	0.354	1.687	19	10.57	86	14.5	66
Si	2.753	0.505	1.801	31	18.72	90	11.5	85
Si	0.191	0.063	0.494	5	11.55	43	14.5	40
Si	2.643	0.465	2.615	36	13.332	88	16.1	78
No	1.34	0.285	1.315	42	6.8	84	11.6	63
Si	1.243	0.414	2.149	33	8.678	82	16.2	72
Si	1.334	0.568	1.946	30	12.14	74	15.1	88
Si	0.651	0.243	0.617	8	5	45	14	45
Si	0.861	0.215	1.117	10	8.65	69	16.1	67
Si	0.45	0.194	0.614	17	13.9	46	10.9	59
Si	1.557	0.489	1.964	37	12.315	85	12.5	73
Si	1.768	0.38	1.263	51	16.9	89	19	79
No	4.019	0.71	4.365	23	3.04	78	19.5	64
Si	3.646	0.585	2.022	25	12.17	79	13	97
No	13.528	1.843	10.168	16	6.55	93	17.4	74
No	14.463	1.757	8.544	60	6.55	83	18	80
No	15.039	3.087	13.963	36	6.55	90	13.6	56
No	12.512	1.724	9.744	27	6.55	91	10.5	57
No	7.294	0.904	5.758	7	6.55	79	19	49
No	8	1.464	6.943	17	6.55	69	22	63
No	5.318	1.025	7.626	8	6.55	71	18.7	42
No	7.888	1.036	5.011	6	6.55	82	17.8	53
No	4.877	0.814	4.123	13	6.55	82	16.3	66
No	8.598	1.143	5.06	56	6.55	79	19.1	76
No	8.399	0.656	4.658	19	6.55	85	15.3	53
No	5.549	0.853	5.004	9	6.55	80	17.9	65
No	3.15	0.65	3.598	16	6.84	71	15.1	59
No	2.119	0.39	2.478	5	6.55	80	14.9	46
Si	2.096	0.465	1.442	27	16.13	83	13.9	90
Si	0.462	0.146	0.527	36	14.5	91	6.5	61
Si	10.477	2.442	10.142	28	15.15	73	11.3	67
Si	0.257	0.109	0.396	19	7.85	55	10	53
Si	4.414	0.335	0.908	30	5.666	56	15.5	46
Si	1.769	0.437	1.757	41	10.965	60	14.2	98
Si	0.232	0.099	0.402	7	7.07	59	8.9	36
No	14.474	6.392	31.643	49	5.13	89	23.1	69
No	0.529	0.243	1.206	22	4.86	100	17.4	43
Si	4.095	1.195	5.064	33	8.49	81	14.8	64
Si	0.497	0.215	0.895	27	7.85	54	13.8	50
No	4.345	2.604	5.584	15	7.86	65	18.2	10
Si	0.592	0.279	1.204	19	6.4	80	14.5	43
No	1.5	0.611	2.024	12	7.07	95	17.1	84
Si	1.154	0.253	0.791	15	11.172	68	11.6	60
Si	0.845	0.254	0.662	5	7.6	59	19	39
Si	0.759	0.244	0.867	57	10.9	81	12.1	70
No	5.042	0.944	5.167	55	5.391	81	14.4	81
Si	1.262	0.276	0.978	14	9.456	53	12.8	65
Si	3.058	0.478	1.737	46	18.81	91	10.4	91
Si	0.247	0.1	0.309	19	11.412	89	8.3	96
Si	0.222	0.091	0.484	16	11.01	58	10.4	78
Si	2.425	0.601	2.11	62	12.24	94	9.6	93
Si	7.033	1.223	4.941	47	19.04	98	9.1	74
Si	0.626	0.145	0.983	12	7.7	70	21.9	52
Si	2.267	0.611	2.825	20	6.735	70	12.2	65
Si	0.484	0.177	0.634	9	7.8	60	14.1	64
Si	3.495	0.528	1.915	49	18.732	94	11.5	88
No	4.8	1.515	7.764	14	6.874	73	19.2	56
No	1.797	0.938	6.96	24	4.44	96	6.7	33
No	3.235	2.133	9.978	25	5.028	73	14.8	39
No	19.873	3.215	19.532	95	11.648	93	15.8	78
No	15.698	2.478	12.677	85	12.024	96	16.1	66
No	6.986	1.918	12.33	25	6.618	80	22.2	46
Si	0.682	0.204	0.771	22	9.5	26	2.5	57
Si	6.348	0.922	3.34	68	18.93	99	5.3	90
No	6.855	2.408	11.036	26	8.907	89	10.8	54
No	9.735	2.064	12.478	23	11.656	89	16	71
Si	0.681	0.246	1.058	44	10.76	85	13.4	63
Si	6.361	1.507	5.889	26	11.38	81	14.8	93
Si	14.446	3.252	14.13	22	10.22	82	18.3	75
Si	2.974	0.58	2.666	29	15.192	84	15.9	67
Si	0.927	0.415	2.149	24	11.13	72	13.5	51
Si	0.576	0.137	0.662	11	10.43	85	16.5	45
Si	2.096	0.694	2.551	35	11.8	60	15.8	77
No	12.445	3.623	24.47	54	7.09	88	13.4	66
No	11.22	3.32	19.553	43	5.697	88	14.7	63
Si	5.081	1.194	3.768	11	14.22	61	10.7	66
No	3.58	1.627	11.028	36	4.46	85	11.8	54
No	14.939	5.705	25.422	52	7.56	87	17.4	81
No	8.384	2.71	13.518	22	7.23	82	10	34
Si	1.487	0.388	1.417	26	11.12	55	11.1	69
No	8.579	3.681	17.88	25	6.994	88	13.7	57
Si	1.597	0.226	1.431	16	13.54	66	14.1	47
No	4.777	1.823	9.844	16	6.54	84	11.1	31
No	1.208	0.438	1.906	20	6.81	67	15.9	59
No	0.441	0.172	0.633	17	6.6	46	15.1	64
No	0.461	0.235	0.974	10	6.6	67	15.2	35
No	4.269	0.985	6.476	27	8.594	82	18.4	55
No	14.292	3.409	19.34	22	8.723	89	18.1	63
No	14.438	3.816	16.282	12	8.566	88	16.7	68
No	3.347	1.006	4.664	10	6.919	74	15	56
Si	7.122	1.643	7.76	42	16.5	82	5.9	59
No	19.152	4.893	22.045	66	15.732	90	11.5	87
No	4.192	1.656	5.887	15	8.828	79	19	53
No	1.458	0.588	1.846	56	9.843	74	14.6	51
No	11.054	3.524	16.502	26	8.949	88	12.2	45
No	3.844	1.669	7.524	26	4.916	81	20.3	53
No	6.574	2.94	14.782	32	9.057	87	12.7	58
No	1.877	0.823	3.926	49	9.057	88	14.4	49
No	1.618	0.479	4.793	18	7.246	71	13.4	48
Si	0.452	0.269	1.417	17	6.15	59	16.6	52
No	1.351	0.57	2.385	18	4.44	72	18.9	51
No	6.277	3.526	16.454	33	5.595	86	15.1	53
Si	1.209	0.265	0.82	19	11.45	72	11.4	64
No	9.75	2.529	10.358	24	11.18	89	17.5	75
No	1.757	0.394	2.033	32	5.972	77	13	37
No	14.596	3.331	14.609	75	8.4	88	8.9	83
No	5.803	1.73	10.099	19	7.248	79	16.8	62
No	5.191	1.5	7.532	15	8.677	75	15.5	53
No	6.071	1.449	6.635	15	7.558	82	19.1	55
No	2.777	1.652	8.334	20	5.634	97	15.9	49
No	1.8	0.56	3.876	44	6.634	82	17.8	47
No	4.418	2.049	14.047	23	4.104	86	22.6	35
No	5.53	1.697	8.463	12	7.731	75	21.5	40
No	4.144	1.853	10.135	18	6.197	78	16.3	77
Si	7.7	1.906	7.671	79	16.85	96	13.1	97
No	4.743	2.233	13.436	32	5.173	86	11.5	44
No	8.631	2.546	11.669	25	10.602	79	19.7	54
Si	12.394	2.464	9.205	85	17.02	95	6.3	93
No	8.586	2.503	13.138	25	10.786	93	7.8	66
Si	1.758	0.419	2.041	27	12.04	92	13.2	72
Si	4.044	0.688	2.738	51	16.23	79	15	63
No	9.643	1.968	8.894	12	10.33	84	16.6	63
Si	5.892	0.756	2.854	46	14.5	75	11.7	100
Si	8.766	1.243	5.071	56	17.84	93	5.9	80
Si	3.934	0.886	3.698	40	13.6	93	15.6	66
Si	2.306	0.538	4.309	23	13.226	86	13.6	62
No	0.285	0.208	1.14	21	3.687	67	23.6	43
Si	4.471	0.91	3.674	29	11.584	83	14.1	92
No	0.848	0.377	1.855	14	5.8	62	14.8	48
No	7.693	2.328	12.594	30	8.074	84	16.9	63
No	7.589	1.876	14.77	29	6.76	84	17	47
Si	12.229	2.477	13.259	45	17.23	90	11.4	68
No	1.401	0.605	3.716	10	7.1	63	19.4	36
No	2.379	1.292	4.283	8	4.973	56	22	38
No	2.85	1.046	9.26	20	4.652	78	18.7	45
Si	2.057	0.828	4.106	26	11.712	80	13.8	89
Si	0.374	0.185	0.995	45	8.55	75	12.6	62
No	7.473	3.013	15.749	27	5.764	86	16.5	53
No	3.281	1.448	10.975	19	4.422	73	21	29
No	14.752	5.329	30.017	48	5.13	91	19.7	65
No	4.217	1.686	9.375	17	4.104	94	25.3	50
Si	0.974	0.29	1.145	5	12.52	16	7.5	57
Si	2.459	0.582	2.664	36	16.32	87	11.2	65
Si	1.445	0.326	1.129	46	15.35	89	10.3	82
Si	1.712	0.696	2.936	41	11.75	94	11.5	47
No	5.095	2.4	13.894	27	6.857	89	12.8	37
No	7.663	1.735	7.353	18	15.516	87	9.9	79
No	15.849	2.678	11.278	74	12.212	90	9.5	95
No	12.749	3.343	20.356	40	8.199	96	9	65
No	1.558	0.472	3.754	20	6.172	83	23.4	53
No	2.593	1.03	6.038	9	6.704	78	21	65
No	0.91	0.342	1.434	14	7.032	75	15.2	36
No	4.4	1.472	7.804	12	6.95	90	23.1	67
No	2.409	0.759	3.819	17	6.9	81	22.2	46
No	14.901	4.631	23.945	36	9.096	93	11.5	72
No	5.244	1.93	11.561	12	8.786	79	15.9	38
No	2.029	1.073	7.535	23	5.988	91	15.1	45
Si	0.663	0.192	1.481	10	8.84	69	17.4	78
Si	1.399	0.308	1.131	44	14.9	82	11.6	79
Si	0.325	0.086	0.699	21	9.6	39	10.5	68
No	0.368	0.212	0.863	5	4.286	39	14.9	40
Si	2.075	0.52	2.501	49	11.8	87	14.2	95
Si	7.791	1.499	5.5	71	17.865	93	5.8	83
Si	3.55	0.653	2.164	53	18.92	90	9.7	90
Si	7.759	1.477	6.362	30	15.925	89	13.4	96
No	4.963	1.567	10.262	18	10.217	81	8.7	45
No	2.996	0.704	3.006	2	5.587	61	16	31
No	15.712	4.277	18.511	29	10.26	85	13.8	73
Si	1.847	0.453	1.298	19	7.384	51	13.7	30
Si	1.47	0.287	1.13	20	10.9	70	15.7	68
Si	0.647	0.271	1.014	17	9.14	51	10.7	73
Si	1.465	0.188	0.703	10	4.45	43	22.9	58
Si	0.8	0.256	0.801	41	12.925	78	9.9	72
Si	1.416	0.417	1.324	10	13.5	67	13.2	75
Si	5.661	0.903	3.499	75	13.85	95	4.3	89
Si	1.092	0.477	0.847	27	8.67	42	11.3	68
Si	0.44	0.112	0.466	25	10	65	11.4	63
Si	1.231	0.345	1.295	34	11.6	66	12.4	67
Si	1.305	0.334	1.098	42	16.26	91	12.1	86
Si	3.315	0.425	1.584	68	13.75	81	9.6	90
Si	1.209	0.214	0.822	31	15.276	79	11.2	65
No	6.54	2.44	14.445	31	8.2	84	16.9	56
Si	7.654	1.254	4.879	62	18.35	91	3.9	90
No	1.373	0.724	2.754	6	2.7	60	20.3	52
Si	1.19	0.324	1.28	12	8.84	57	16.2	63
Si	0.28	0.079	0.327	5	5.59	53	15.1	90
Si	0.665	0.226	1.739	17	9.16	68	20.6	48
Si	2.895	0.579	2.195	80	18.345	94	10.6	91
Si	0.318	0.13	0.416	40	14.9	93	8.3	69
Si	1.48	0.452	2.961	6	9.85	10	15.4	64
Si	0.98	0.35	0.872	10	9.89	52	14.4	84
Si	4.772	0.712	2.714	60	19.13	90	12.1	92
No	6.502	1.372	7.484	11	7.844	76	15.3	52
No	1.164	0.478	2.138	12	4.47	33	16.3	60
Si	1.566	0.483	1.509	28	14.2	58	16.4	67
No	3.224	1.057	5	11	6.39	67	14.6	55
Si	1.205	0.278	1.071	31	14.51	84	12.5	60
No	9.167	2.738	15.739	24	6.94	80	24.7	55
Si	1.65	0.409	1.803	7	8.994	74	15.4	59
No	2.702	0.604	2.315	7	5.918	76	19.4	52
No	5.548	1.549	8.909	30	8.124	83	22.7	61
No	3.1	0.825	3.234	3	5.542	75	15.7	65
Si	0.662	0.184	0.665	20	10.72	66	12.5	62
Si	0.996	0.377	1.411	29	12.065	62	12.5	80
Si	0.917	0.213	0.979	21	8.82	68	10.5	50
No	0.95	0.351	1.276	42	14.32	77	14.9	87
Si	1.432	0.548	2.2	56	11.48	81	12.7	85
Si	1.738	0.417	1.335	21	18.46	92	13.2	71
Si	0.903	0.213	0.971	15	10.5	66	14.1	72
Si	1.861	0.359	1.22	45	16.67	80	10.5	72
Si	1.681	0.344	1.235	35	16.249	84	13.6	52
Si	1.121	0.372	1.27	43	12.66	80	16.9	80
Si	2.139	0.502	2.186	24	12.35	88	12.6	63
Si	1.631	0.434	1.803	15	11.15	78	13.3	67
Si	1.658	0.395	1.595	49	14.8	91	13.3	68
Si	0.663	0.315	1.279	32	10.06	74	11.2	59
Si	0.469	0.227	0.851	17	10.535	39	12.9	52
Si	4.186	0.526	1.988	81	19.629	94	9	99
Si	0.167	0.046	0.199	16	11.428	67	8.3	67
Si	1.239	0.383	1.207	10	7.82	69	13.9	91
No	3.325	1.301	5.8	20	4.2	53	20.2	58
No	2.32	0.769	3.395	24	6.4	71	12.8	59
Si	0.152	0.075	0.282	17	9.1	48	8.5	50
Si	1.979	0.575	1.98	42	15.948	82	12.8	78
Si	1.501	0.273	1.059	51	12.68	91	15.3	75
Si	2.768	0.682	2.802	49	15.884	92	15.2	82
No	2.197	0.543	3.089	4	6.797	60	21	40
Si	1.959	0.695	2.849	24	11.52	73	13.3	83
Si	2.097	0.695	2.793	34	6.9	67	14.4	49
Si	10.705	1.317	5.217	95	19.84	96	5.8	99
Si	2.989	0.691	2.988	28	4.99	75	18.1	99
